,Z,X,Y,Distancia
0,854.9698,43,732,40
1,854.97076,44,731,0
2,855.999,56,722,20
3,856.0,57,722,0
4,858.1869,68,743,27
5,858.18787,69,743,0
6,858.6977,70,743,0
7,858.69867,71,744,0
8,858.7007,73,745,1
9,858.7077,80,743,6
10,858.7087,81,743,0
11,859.88525,82,743,0
12,860.0357,94,734,15
13,862.0951,105,737,13
14,862.11505,120,720,20
15,862.1161,121,720,0
16,862.1655,128,719,6
17,863.3596,131,709,11
18,866.0719,127,706,6
19,866.0729,126,706,0
20,866.0779,121,702,6
21,866.84076,119,689,28
22,868.5788,122,677,13
23,868.5798,121,677,0
24,872.52734,120,677,0
25,879.985,119,677,0
26,879.987,117,676,1
27,882.55396,119,658,24
28,882.55493,120,657,0
29,890.17194,133,645,18
30,894.02704,145,635,13
31,895.9172,147,633,1
32,895.91815,148,632,0
33,895.9192,149,631,0
34,895.92017,150,630,0
35,907.14374,161,620,14
36,908.2813,164,618,2
37,910.46545,165,617,0
38,910.46643,166,616,0
39,910.48145,180,601,17
40,910.4824,181,600,0
41,910.48346,182,600,1
42,910.49243,191,592,11
43,911.8281,192,592,0
44,912.4049,193,591,0
45,913.27325,198,589,4
46,917.995,213,568,35
47,919.4844,214,561,5
48,919.48535,214,560,0
49,919.986,215,557,2
50,919.991,220,555,5
51,919.993,222,554,1
52,919.996,225,554,4
53,919.998,227,554,1
54,923.992,243,545,15
55,923.997,247,542,3
56,923.998,248,541,0
57,923.999,249,541,0
58,924.0,250,541,0
59,925.5062,253,535,12
60,929.994,263,523,29
61,937.986,271,501,30
62,938.0211,280,490,14
63,942.37805,288,488,7
64,942.379,289,488,0
65,942.38007,290,488,0
66,956.7351,300,481,14
67,960.34247,302,489,10
68,968.2966,305,491,3
69,972.6939,307,492,1
70,972.6979,311,495,4
71,972.6989,312,495,0
72,972.7019,315,495,3
73,975.52216,319,499,5
74,975.5232,320,499,0
75,975.5242,321,499,0
76,975.78253,322,499,0
77,980.0875,323,500,0
78,980.0885,324,500,0
79,987.6214,331,496,7
80,992.44476,337,494,5
81,994.03235,338,494,0
82,996.66614,344,494,5
83,1000.04193,347,495,2
84,1000.4767,349,494,1
85,1013.0025,373,474,29
86,1015.3232,374,474,0
87,1023.1688,375,474,0
88,1030.2296,376,474,0
89,1038.4137,383,470,6
90,1041.999,390,469,6
91,1042.0,391,469,0
92,1042.0515,392,469,0
93,1042.3392,397,467,4
94,1042.4735,398,467,0
95,1044.2557,399,467,0
96,1044.4744,408,463,8
97,1044.4753,409,463,0
98,1044.5238,411,462,1
99,1052.5333,415,457,7
100,1054.6981,416,457,0
101,1120.1586,422,465,10
102,1159.4264,427,468,4
103,1161.0604,432,468,5
104,1161.0685,433,476,9
105,1174.7251,442,473,9
106,1180.064,451,485,15
107,1194.474,463,473,17
108,1194.475,464,473,0
109,1194.476,465,474,0
110,1194.477,466,475,0
111,1198.9514,467,482,13
112,1205.6428,470,481,2
113,1233.9757,474,484,6
114,1308.896,484,480,21
115,1332.6166,492,503,30
116,1336.4956,496,500,6
117,1336.7023,497,500,0
118,1340.0072,498,500,0
119,1340.3143,499,500,0
120,1340.3163,501,501,1
121,1340.3173,502,501,1
122,1340.3213,506,501,3
123,1358.0073,517,494,14
124,1361.7852,518,494,0
125,1387.8562,522,496,3
126,1399.121,526,495,4
127,1482.3213,530,499,7
128,1492.3741,535,498,4
129,1492.3851,546,490,13
130,1494.2175,549,491,2
131,1502.0425,553,494,6
132,1502.0496,560,489,14
133,1506.1135,560,499,11
134,1506.1145,561,500,0
135,1506.5448,562,500,0
136,1506.7982,563,500,0
137,1507.576,564,500,0
138,1507.589,575,490,16
139,1507.5911,577,490,1
140,1520.2024,590,446,51
141,1520.2053,587,444,3
142,1520.2264,587,429,29
143,1520.2274,588,430,0
144,1520.2284,589,430,0
145,1520.2294,590,430,0
146,1525.9968,604,388,50
147,1525.9978,605,388,0
148,1531.9688,605,382,6
149,1542.0968,638,329,69
150,1546.895,650,307,22
151,1546.897,648,306,1
152,1553.0918,647,286,37
